0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.151731879,-1.78158207e-05,0.000545916846,-4.38856796e-06,-7.92082283e-05,6.08701848e-05,-0.00626853388,0.00756853446,3.12040029e-05,8.82722088e-05,0.000715833332,-0.0025365036,0.00590568408,-0.00841465872,-2.71528347e-06,0.000339979568,-0.000153430592
3,0.0839614868,-0.0308937132,0.0333410092,0.291439921,-0.789316237,0.332623452,0.468998611,-0.720608175,0.253654331,0.171606138,0.0501695648,-0.42883423,0.686722517,-0.255162686,-0.612716556,0.519958735,-0.0669378713
4,0.100821435,-0.0169230886,0.00213524606,0.279810816,-0.787817955,0.253292471,0.383500844,-0.563925147,0.211904243,0.207528859,0.12101496,-0.411320031,0.594515502,-0.160030887,-0.721111715,0.607844889,-0.108444624
5,0.226801693,-0.0739784837,0.023598969,0.224711254,-0.598015904,0.166722298,0.24733752,-0.34082514,0.213819236,0.190568522,0.105678618,-0.30840075,0.397096217,-0.0873632729,-0.50767982,0.422974646,-0.084133096
6,0.193221688,-0.0535990931,0.036654003,0.140700147,-0.373441041,0.130226597,0.166650519,-0.234136969,0.114253931,0.147293866,0.0501011945,-0.2077218,0.28126809,-0.0530004017,-0.36041525,0.263885856,-0.027082799
7,0.0849969685,-0.0179597195,0.020773543,0.107425265,-0.278307885,0.0889936388,0.118180193,-0.180359229,0.0843103379,0.0939764678,0.0698735416,-0.156925634,0.206180289,-0.0445091464,-0.238188699,0.195074573,-0.030928839
8,0.0286011696,0.0178616196,-0.00591062335,0.0897444561,-0.24601239,0.0915352702,0.111607902,-0.181008756,0.0709481835,0.0642860085,0.0414249003,-0.134127483,0.203614771,-0.0556214303,-0.189794853,0.160623759,-0.0291840192
9,0.0102469623,0.00576883135,-0.00433034357,0.0971302092,-0.252485633,0.0930346996,0.130177394,-0.20659776,0.0874143019,0.0644169375,0.0506427474,-0.158736706,0.210900739,-0.0607518256,-0.176455438,0.150170192,-0.0223620199
10,0,-0.00719757192,-0.00126734644,0.158455253,-0.538885057,0.361681491,0.635271907,-0.739851356,0.0780118406,0.0817583129,0.068738237,-0.417778224,0.665930986,-0.358735323,-0.213673338,0.174106434,-0.0318280831
11,0,-0.0522507913,0.0754405931,0.367384106,-0.923579514,0.530730188,0.568082094,-0.706577003,0.248638108,0.209602967,0.116185643,-0.525899708,0.685840905,-0.351553977,-0.735912502,0.616537631,-0.106622405
12,0,-0.0967851579,-0.144008294,-0.461262524,-0.514424384,-0.209380433,0.246761754,0.0459906757,-0.415590405,0.372582853,0.111524045,-0.256104439,-0.111770414,-0.154832333,-0.362462044,0.0537567362,0.379035443
13,0,0.511702299,0.0139340544,0.0248436537,0.280111253,-0.457314998,0.486648649,-0.141537353,0.236385092,-0.322512001,-0.018542679,0.485839546,-0.242767394,0.0969194919,0.371440381,-0.0155000119,0.3578614
14,0,-0.0815111324,-0.423560649,0.0890533403,-0.403623134,0.117415115,0.492219388,-0.0921871439,0.449022502,-0.133316368,-0.0443273187,-0.272509754,0.134406641,-0.219494522,-0.338242739,0.476880103,-0.036596112
15,0,-0.346869022,0.0976893157,-0.326820612,-0.0245374031,-0.265592158,0.360846221,-0.182154611,-0.0406069607,0.120036282,0.40417105,0.47454834,0.376423419,0.393352002,-0.0588200502,-0.309827626,-0.188217074
